a52dec 0.8.0-2
libraqm 0.10.2-1
libraw1394 2.1.2-4
librsvg 2:2.59.1-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.5-3
libsecret 0.21.4-1
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsigsegv 2.14-3
libsixel 1.10.3-6
libsm 1.2.4-2
libsndfile 1.2.2-2
libsodium 1.0.20-1
libsoup 2.74.3-1
libsoup3 3.6.0-1
libsoxr 0.1.3-4
libssh 0.11.1-1
libssh2 1.11.0-1
libstemmer 2.2.0-2
libsynctex 2024.2-3
libsysprof-capture 47.0-1
libtar 1.2.20-7
libtasn1 4.19.0-2
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtirpc 1.3.5-1
libtommath 1.3.0-1
libtool 2.5.3-1
libunibreak 6.1-1
libunistring 1.2-1
libunwind 1.8.1-3
libupnp 1.14.20-1
liburing 2.7-1
libusb 1.0.27-1
libusbmuxd 2.1.0-1
libutempter 1.2.1-4
libuv 1.49.1-1
libva 2.22.0-1
libva-intel-driver 2.4.1-3
libva-mesa-driver 1:24.2.4-1
libva-nvidia-driver-git 0.0.12.r11.gf3205bd-1
libvdpau 1.5-3
libverto 0.3.2-5
libvlc 3.0.21-6
libvorbis 1.3.7-3
libvpl 2.13.0-1
libvpx 1.14.1-1
libwacom 2.13.0-1
libwbclient 2:4.21.1-1
libwebp 1.4.0-3
libwireplumber 0.5.6-1
libwnck3 43.1-1
libx11 1.8.10-1
libxau 1.0.11-3
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.36-2
libxcursor 1.2.2-1
libxcvt 0.1.2-2
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfce4ui 4.18.6-2
libxfce4util 4.18.2-2
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxklavier 5.4-5
libxml2 2.13.4-1
libxmlb 0.3.19-1
libxmu 1.2.1-1
libxnvctrl 560.35.03-1
libxpm 3.5.17-2
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.11-2
libxres 1.2.2-2
libxshmfence 1.3.2-2
libxslt 1.1.42-1
libxss 1.2.4-2
libxt 1.3.0-2
libxtst 1.2.5-1
libxv 1.0.12-2
libxvmc 1.0.14-1
libxxf86vm 1.1.5-2
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.10.1-2
licenses 20240728-1
lilv 0.24.24-2
linux 6.11.3.arch1-1
linux-api-headers 6.10-1
linux-firmware 20240909.552ed9b8-1
linux-firmware-whence 20240909.552ed9b8-1
linux-headers 6.11.3.arch1-1
llvm-libs 18.1.8-4
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
lua 5.4.7-1
luajit 2.1.1727870382-1
lv2 1.18.10-1
lxappearance 0.6.3-5
lximage-qt 2.0.1-1
lxmenu-data 0.1.5-4
lxqt-about 2.0.0-1
lxqt-admin 2.0.0-1
lxqt-archiver 1.0.0-1
lxqt-config 2.0.0-1
lxqt-globalkeys 2.0.0-1
lxqt-menu-data 2.0.0-1
lxqt-notificationd 2.0.1-1
lxqt-openssh-askpass 2.0.1-1
lxqt-panel 2.0.1-1
lxqt-policykit 2.0.0-1
lxqt-powermanagement 2.0.0-1
lxqt-qtplugin 2.0.0-1
lxqt-runner 2.0.0-1
lxqt-session 2.0.0-1
lxqt-sudo 2.0.0-1
lxqt-themes 2.0.0-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
make 4.4.1-2
mbedtls2 2.28.9-1
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 26-1
menu-cache 1.1.0-5
mesa 1:24.2.4-1
mesa-utils 9.0.0-5
meson 1.5.2-1
milou 6.2.0-1
minizip 1:1.3.1-2
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
modemmanager-qt 6.6.0-1
mousepad 0.6.2-4
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.7-1
mpv 1:0.39.0-1
mpv-mpris 1.1-2
mtdev 1.1.7-1
mujs 1.3.5-1
muparser 2.3.4-2
nano 8.2-1
nasm 2.16.03-1
ncurses 6.5-3
ncurses5-compat-libs 6.5-1
ncurses5-compat-libs-debug 6.5-1
neofetch 7.1.0-2
net-tools 2.10-3
nettle 3.10-1
network-manager-applet 1.36.0-1
networkmanager 1.50.0-1
networkmanager-qt 6.6.0-1
ninja 1.12.1-1
nm-connection-editor 1.36.0-1
node-gyp 10.2.0-1
nodejs 22.9.0-1
nodejs-nopt 7.2.0-2
noto-fonts 1:24.9.1-1
noto-fonts-emoji 1:2.047-1
npm 10.9.0-1
npth 1.7-1
nspr 4.35-3
nss 3.105-1
numactl 2.0.18-1
nvidia-dkms 560.35.03-6
nvidia-settings 560.35.03-1
nvidia-utils 560.35.03-6
nvtop 3.1.0-1
nwg-look 0.2.7-1
obconf 2.0.4-8
obconf-qt 0.16.4-1
ocean-sound-theme 6.2.0-1
ocl-icd 2.3.2-2
onetbb 2021.13.0-1
oniguruma 6.9.9-1
openal 1.23.1-2
openbox 3.6.1-11
opencore-amr 0.1.6-2
openexr 3.2.4-1
openjpeg2 2.5.2-1
openssh 9.9p1-1
openssl 3.3.2-1
opus 1.5.2-1
orc 0.4.40-1
ostree 2024.8-1
otf-font-awesome 6.6.0-1
oxygen 6.2.0-1
oxygen-sounds 6.2.0-1
p11-kit 0.25.5-1
pacman 7.0.0.r3.g7736133-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20240717-1
pahole 1:1.27-2
pam 1.6.1-3
pambase 20230918-2
pamixer 1.6-3
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pavucontrol-qt 2.0.0-1
pciutils 3.13.0-2
pcmanfm 1.3.2-1
pcmanfm-qt 2.0.0-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.40.0-1
perl-alien-build 2.83-2
perl-alien-libxml2 0.19-4
perl-capture-tiny 0.48-9
perl-clone 0.47-1
perl-dbi 1.645-1
perl-error 0.17029-7
perl-ffi-checklib 0.31-5
perl-file-chdir 0.1011-6
perl-file-which 1.27-5
perl-mailtools 2.21-9
perl-path-tiny 0.146-2
perl-timedate 2.33-7
perl-xml-libxml 2.0210-2
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.3.1-5
pipewire 1:1.2.5-1
pipewire-alsa 1:1.2.5-1
pipewire-audio 1:1.2.5-1
pipewire-pulse 1:1.2.5-1
pipewire-session-manager 1:1.2.5-1
pixman 0.43.4-1
pkgconf 2.1.1-1
plasma-activities 6.2.0-1
plasma-activities-stats 6.2.0-1
plasma-browser-integration 6.2.0-1
plasma-desktop 6.2.0-1
plasma-disks 6.2.0-1
plasma-firewall 6.2.0-1
plasma-integration 6.2.0-1
plasma-nm 6.2.0-1
plasma-pa 6.2.0-1
plasma-sdk 6.2.0-1
plasma-systemmonitor 6.2.0-1
plasma-thunderbolt 6.2.0-1
plasma-vault 6.2.0-1
plasma-welcome 6.2.0-1
plasma-workspace 6.2.0-1
plasma-workspace-wallpapers 6.2.0-1
plasma5support 6.2.0-1
playerctl 2.4.1-4
plymouth 24.004.60-9
plymouth-kcm 6.2.0-1
pokemon-colorscripts-git r112.0483c85b-2
polkit 125-1
polkit-gnome 0.105-11
polkit-kde-agent 6.2.0-1
polkit-qt6 0.200.0-1
poppler 24.09.0-4
poppler-data 0.4.12-2
poppler-qt6 24.09.0-4
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
power-profiles-daemon 0.23-1
powerdevil 6.2.0-1
ppp 2.5.1-1
print-manager 1:6.2.0-1
prison 6.6.0-1
procps-ng 4.0.4-3
psmisc 23.7-1
psutils 3.3.5-1
pugixml 1.14-1
pulse-native-provider 1:1.2.5-1
pulseaudio-qt 1.6.0-1
purpose 6.6.0-1
python 3.12.7-1
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-build 1.2.2-1
python-cachecontrol 1:0.14.0-3
python-cachy 0.3.0-10
python-cairo 1.27.0-1
python-certifi 2024.08.30-1
python-cffi 1.17.1-1
python-chardet 5.2.0-2
python-charset-normalizer 3.4.0-1
python-cleo 2.1.0-2
python-crashtest 0.4.1-3
python-cryptography 42.0.8-1
python-cssselect 1.2.0-6
python-dbus 1.3.2-4
python-distlib 0.3.8-2
python-dulwich 0.22.2-1
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-gobject 3.50.0-1
python-html5lib 1.1-14
python-idna 3.8-1
python-installer 0.7.0-8
python-jaraco.classes 3.4.0-1
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-jeepney 0.8.0-3
python-jsonschema 4.23.0-1
python-jsonschema-specifications 2023.12.1-2
python-keyring 25.2.1-1
python-lark-parser 1.1.9-3
python-lockfile 0.12.2-13
python-lxml 5.3.0-1
python-mako 1.3.5-1
python-markdown 3.7-1
python-markupsafe 2.1.5-2
python-more-itertools 10.3.0-1
python-msgpack 1.0.5-2
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-pexpect 4.9.0-2
python-pkginfo 1.10.0-1
python-platformdirs 4.3.6-1
python-poetry 1.8.3-1
python-poetry-core 1.9.0-5
python-poetry-plugin-export 1.8.0-1
python-psutil 6.0.0-1
python-ptyprocess 0.7.0-6
python-puremagic 1.28-1
python-pycparser 2.22-2
python-pycups 2.0.4-2
python-pygdbmi 0.11.0.0-4
python-pypdf 5.0.1-1
python-pyproject-hooks 1.2.0-1
python-pyquery 2.0.0-4
python-rapidfuzz 3.6.2-3
python-referencing 0.35.1-1
python-requests 2.32.3-1
python-requests-toolbelt 1.0.0-2
python-rpds-py 0.19.0-1
python-secretstorage 3.3.3-5
python-sentry_sdk 2.16.0-1
python-setuptools 1:69.5.1-1
python-shellingham 1.5.4-2
python-six 1.16.0-9
python-tomli 2.0.1-4
python-tomlkit 0.13.2-1
python-tqdm 4.66.5-1
python-trove-classifiers 2024.9.12-1
python-typing_extensions 4.12.2-1
python-urllib3 1.26.20-1
python-validate-pyproject 0.20.2-1
python-virtualenv 20.26.2-1
python-webencodings 0.5.1-11
qca-qt6 2.3.9-2
qcoro 0.11.0-1
qpdf 11.9.1-1
qps 2.9.0-1
qqc2-breeze-style 6.2.0-1
qqc2-desktop-style 6.6.0-1
qrencode 4.1.1-3
qt5-base 5.15.15+kde+r127-1
qt5-declarative 5.15.15+kde+r25-1
qt5-svg 5.15.15+kde+r5-1
qt5-translations 5.15.15-1
qt5-wayland 5.15.15+kde+r59-1
qt5-x11extras 5.15.15-1
qt5ct 1.8-2
qt6-5compat 6.7.3-1
qt6-base 6.7.3-2
qt6-declarative 6.7.3-3
qt6-multimedia 6.7.3-1
qt6-multimedia-ffmpeg 6.7.3-1
qt6-positioning 6.7.3-1
qt6-quick3d 6.7.3-1
qt6-quicktimeline 6.7.3-1
qt6-sensors 6.7.3-1
qt6-shadertools 6.7.3-1
qt6-speech 6.7.3-1
qt6-svg 6.7.3-1
qt6-tools 6.7.3-1
qt6-translations 6.7.3-1
qt6-virtualkeyboard 6.7.3-1
qt6-wayland 6.7.3-1
qt6-webchannel 6.7.3-1
qt6-webengine 6.7.3-1
qt6-websockets 6.7.3-1
qt6-webview 6.7.3-1
qt6ct 0.9-10
qterminal 2.0.1-1
qtermwidget 2.0.1-1
qtkeychain-qt6 0.14.3-1
qtxdg-tools 4.0.0-1
rav1e 0.7.1-1
re2 1:20240702-2
readline 8.2.013-1
ripgrep 14.1.1-1
rofi-wayland 1.7.5+wayland3-2
rtkit 0.13-3
rubberband 3.3.0-2
ruby 3.3.5-2
rubygems 3.5.16-1
runc 1.1.15-1
samba 2:4.21.1-1
sbc 2.0-2
screengrab 2.8.0-1
sdbus-cpp 1.5.0-3
sddm 0.21.0-4
sddm-kcm 6.2.0-1
sdl2 2.30.8-1
seatd 0.8.0-2
sed 4.9-3
semver 7.6.3-1
sequoia-sqv 1.2.1-1
serd 0.32.2-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
signon-kwallet-extension 24.08.2-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-2
signond 8.61-3
slang 2.3.3-3
slurp 1.5.0-1
smartmontools 7.4-2
smbclient 2:4.21.1-1
snappy 1.2.1-2
sndio 1.10.0-1
socat 1.8.0.1-1
solid 6.6.0-1
sonnet 6.6.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
